"","Country","mortality.rate","AFR","agri.forestry.fish.gdp.pct","industry.gdp.pct","CO2","fertility.rate","GDP","GDP.per.capita","GDP.grwoth.rate","GNI","inflation","population.growth","population","unemployment","Continent","Urban.pop","Household.consump","Forest.area","Arable.land","Water","Food.prod.index","Health.expend","Immunization","Sanitation.faci","Immunization.measles","Health.exp.pocket","Fixed.tel","Mobile.cel","Internet.users"
"1","Algeria",26.1,11.556,8.77068635508419,47.8550177493606,3.4602658100588,2.936,209058991952.125,5565.13452104848,3.37476865068784,494193563909.627,7.48133760113853,2.00661417637038,37565847,10.9700002670288,"Africa",68.87,11.1155384907031,0.81,0.2,84.9,142.12,4.41,95,87,95,25.79,8.55,97.52,15.23
"2","Argentina",13.3,63.976,5.7817442068501,24.4290570649122,4.56938367601348,2.347,545982375701.128,12969.7071238969,-1.02642045443208,804725313928.893,22.3148806733049,1.05037622160469,42096739,7.21999979019165,"South America",91.3,12.8986185453571,10.23,0.94,98.6,106.03,4.68,91,95.5,94,20.12,23.01,156.56,55.8
"3","Armenia",16.3,27.215,17.9126819526397,27.8270946139077,1.97606007379797,1.664,10619320048.5857,3684.80481032649,7.20000000328236,22923441898.4824,5.34580441586982,0.220269188354708,2881922,17.3099994659424,"Asia",63.16,9.10314038775516,11.64,0.15,99.7,123.47,1.88,95,89.5,97,54.57,19.66,111.91,37.5
"4","Austria",4.1,8.464,1.3485513899381,25.6339685320435,7.38707716295308,1.44,409425234155.263,48567.69528642,0.68044437424868,392030460346.489,2.05423690406209,0.45593747231891,8429991,4.86999988555908,"Europe",65.86,12.2945440395094,46.81,0.16,100,102.54,8.42,83,100,76,15.71,39.93,160.54,80.03
"5","Azerbaijan",32.6,48.964,5.13976950772418,59.4557912599989,3.82487717012357,2,69683935845.2138,7496.29464768263,2.20000018843571,141899205791.891,2.84793995834187,1.32876382733755,9295784,5.19000005722046,"Asia",53.86,10.2126359411154,12.83,0.2,84.5,134.98,1.21,89,84.7,94,69.02,18.52,108.77,54.2
"6","Bangladesh",43.6,88.007,16.1775631728154,25.309959389543,0.433487963070874,2.236,133355749482.478,856.342857027401,6.52143507837333,465580517217.896,8.16459774560592,1.17243498017455,155727053,3.91400003433228,"Asia",31.99,11.5062175169081,11.04,0.05,84.8,132.84,1.13,95,57.7,89,63.31,0.62,62.82,5
"7","Belarus",4.8,21.258,8.13094268308472,36.2824764109641,6.67999158961994,1.62,65685102554.8759,6940.15925359735,1.68713553642841,164636187636.084,75.2773691739957,-0.0916374821376228,9464495,0.620000004768372,"Europe",75.47,10.2823266469045,42.25,0.58,99.7,124.94,3.87,98,94.4,98,19.46,46.86,113.52,46.91
"8","Belgium",4.3,6.029,0.784515926576535,20.0874528806573,8.54647821408693,1.79,497884216568.867,44740.5832481477,0.234796924396491,482866602524.883,1.97466856958044,0.726031655132031,11128246,7.53999996185303,"Europe",97.73,12.4626216494833,22.53,0.07,100,97.95,8.19,99,99.5,96,20.4,42.03,111.33,80.72
"9","Belize",17.8,69.749,13.0742012300139,17.3981650218085,1.41582591082296,2.642,1563827850,4644.55956471766,2.93781262796161,2502531294.59729,2.1929934600623,2.25541289945294,336701,14.2700004577637,"North America",44.5,6.99723942947912,60.56,0.23,99.3,101.89,3.47,98,90.2,96,24.49,7.84,53.21,31
"10","Benin",110.5,96.365,22.303644794695,20.1604959035102,0.562347006319148,5.246,8152554487.31321,837.950500075362,4.81647824066904,18238941538.6225,7.69269660821384,2.79704040529129,9729160,2.64400005340576,"Africa",42.67,8.66731519558791,39.56,0.27,76.2,138.44,2.85,76,18.4,70,37.99,1.56,83.65,4.5
